Removed Pin From Net: NetName=ERR_LO_PROG+ Pin=U?-2
Removed Pin From Net: NetName=ERR_HI_PROG- Pin=U?-3
Change Component Footprint: Designator=U? Old Footprint=D0008A_M New Footprint=STM-SO-8_D_L
Change Component Comment : Designator=U? Old Comment=TLV2372IDR New Comment=LM393DT
Change Managed Component Library Link : Designator=U? Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=6568B6E7-6B39-4B21-93C8-4D8D06E585F4 New ItemGUID=388E4CED-2E70-419A-B885-9CD586E9343C Old RevisionGUID=77713032-66F2-44A9-B319-4A36D1035A4B New RevisionGUID=FF9EAB37-1F77-451F-8953-085A3C34E777
Change component parameters: Designator = "U?" ("U?"); Footprint = "D0008A_M"; UniqueID = "\CFKWYWEG" ("\CFKWYWEG")
Add component (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Offset Drift(Typ)(uV/C)"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "8-Pin Plastic Small Outline, Body 4.9 x 3.9 mm, Pitch 1.27 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "D0008A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "4040047-3/M, 06/2011"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = "LARGE T&R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "TLV2372IDR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rating"; Value = "Catalog"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RevisionNote"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Slew Rate"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Slew Rate(Typ)(V/us)"; Value = "2.4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sub Family"; Value = "Low Supply Voltage Amplifier (<=2.7V), Precision Amplifier"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SubFamily"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supply Voltage Max"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supply Voltage Min"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Max"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Min"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Max)(+5V is 5, +/-5V is 10)"; Value = "16"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Min)(+5V is 5, +/-5V is 10)"; Value = "2.7"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vio (25C)(Max)(mV)"; Value = "4.5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vmax(V)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vmin(V)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vn at 1kHz(Typ)(nV/rtHz)"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=U4(STM-SO-8_D_L)
Add component (AddParameter): Name = "Category"; Value = "IntegratedCircuits(ICs)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Input Bias (Max)"; Value = "0.25µA@5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Output (Typ)"; Value = "18mA@5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Quiescent (Max)"; Value = "2.5mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://www.st.com/content/ccc/resource/technical/document/datasheet/group1/b4/cc/cf/13/18/28/44/f5/CD00000465/files/CD00000465.pdf/jcr:content/translations/en.CD00000465.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "Rev. 15, 02/2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EDA / CAD Models"; Value = "DownloadfromAcceleratedDesigns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "Linear-Comparators"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.st.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Elements"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Online Catalog"; Value = "Comparators-2elements"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "0°C~70°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Other Names"; Value = "497-1593-2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Other Related Documents"; Value = "LM393ViewAllSpecificationsLM393ViewAllSpecifications"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Type"; Value = "CMOS,DTL,ECL,MOS,Open-Collector,TTL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "8-SOIC(0.154",3.90mmWidth)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "8-Pin Small Outline Integrated Circuit, Body 4.9 x 3.9 mm, Pitch 1.27 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "SO-8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape&Reel(TR)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standard Package"; Value = "2,500"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "8-SO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "GeneralPurpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Input Offset (Max)"; Value = "5mV@30V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Supply, Single/Dual (±)"; Value = "2V~36V,±1V~18V"; VariantName = "[No Variations]"
Add Pin To Net: Unknown Pin: Pin C1-1
Add Pin To Net: Unknown Pin: Pin C1-2
Add Pin To Net: Unknown Pin: Pin C2-1
Add Pin To Net: Unknown Pin: Pin C2-2
Add Pin To Net: Unknown Pin: Pin C3-1
Add Pin To Net: Unknown Pin: Pin C3-2
Add Pin To Net: Unknown Pin: Pin C4-1
Add Pin To Net: Unknown Pin: Pin C4-2
Add Pin To Net: Unknown Pin: Pin C7-1
Add Pin To Net: Unknown Pin: Pin C8-1
Add Pin To Net: Unknown Pin: Pin C?-1
Add Pin To Net: Unknown Pin: Pin C?-1
Add Pin To Net: Unknown Pin: Pin R1-1
Add Pin To Net: Unknown Pin: Pin R1-2
Added Pin To Net: NetName=GND Pin=R12-2
Added Pin To Net: NetName=GND Pin=R13-1
Added Pin To Net: NetName=ERR_HI_PROG- Pin=R?-1
Added Pin To Net: NetName=GND Pin=R?-1
Added Pin To Net: NetName=GND Pin=R?-1
Added Pin To Net: NetName=GND Pin=R?-1
Added Pin To Net: NetName=ERR_HI_PROG- Pin=R?-2
Added Pin To Net: NetName=ERR_LO_PROG+ Pin=R?-2
Added Pin To Net: NetName=ERR_LO_PROG+ Pin=R?-2
Added Pin To Net: NetName=GND Pin=R?-2
Added Pin To Net: NetName=GND Pin=U3-4
Added Pin To Net: NetName=GND Pin=U4-4
Added Pin To Net: NetName=ERR_HI_PROG- Pin=U?-3
Added Pin To Net: NetName=GND Pin=U?-4
Added Pin To Net: NetName=GND Pin=U?-4
Added Pin To Net: NetName=ERR_LO_PROG+ Pin=U?-6
Change Net Name : Old Net Name=GND New Net Name=ERR_LO_PROG-
Added Pin To Net: NetName=ERR_HI_OD Pin=DS4-1
Added Net: Name=ERR_HI_OD
Add Net: Net with name "ERR_HI_OD" already exists
Added Pin To Net: NetName=ERR_HI_PROG+ Pin=R9-2
Added Pin To Net: NetName=ERR_HI_PROG+ Pin=R15-1
Added Pin To Net: NetName=ERR_HI_PROG+ Pin=R?-1
Added Pin To Net: NetName=ERR_HI_PROG+ Pin=R?-2
Added Pin To Net: NetName=ERR_HI_PROG+ Pin=R?-2
Added Pin To Net: NetName=ERR_HI_PROG+ Pin=R?-2
Added Pin To Net: NetName=ERR_HI_PROG+ Pin=U3-8
Added Pin To Net: NetName=ERR_HI_PROG+ Pin=U4-8
Added Pin To Net: NetName=ERR_HI_PROG+ Pin=U?-8
Added Pin To Net: NetName=ERR_HI_PROG+ Pin=U?-8
Added Net: Name=ERR_HI_PROG+
Add Net: Net with name "ERR_HI_PROG-" already exists
Added Pin To Net: NetName=ERR_LO_OD Pin=DS?-1
Added Net: Name=ERR_LO_OD
Add Net: Net with name "ERR_LO_OD" already exists
Add Net: Net with name "ERR_LO_PROG+" already exists
Added Pin To Net: NetName=NetC8_2 Pin=R11-2
Added Pin To Net: NetName=NetC8_2 Pin=U3-3
Added Net: Name=NetC8_2
Added Pin To Net: NetName=NetC?_2 Pin=R?-2
Added Pin To Net: NetName=NetC?_2 Pin=U?-3
Added Net: Name=NetC?_2
Added Pin To Net: NetName=NetDS4_2 Pin=DS4-2
Added Pin To Net: NetName=NetDS4_2 Pin=U4-1
Added Net: Name=NetDS4_2
Added Pin To Net: NetName=NetDS5_2 Pin=DS5-2
Added Pin To Net: NetName=NetDS5_2 Pin=U4-7
Added Net: Name=NetDS5_2
Added Pin To Net: NetName=NetDS?_2 Pin=DS?-2
Added Pin To Net: NetName=NetDS?_2 Pin=U?-1
Added Net: Name=NetDS?_2
Add Net: Net with name "NetDS?_2" already exists
Added Pin To Net: NetName=NetR9_1 Pin=R9-1
Added Pin To Net: NetName=NetR9_1 Pin=R10-2
Added Net: Name=NetR9_1
Added Pin To Net: NetName=NetR10_1 Pin=R10-1
Added Pin To Net: NetName=NetR10_1 Pin=R11-1
Added Net: Name=NetR10_1
Added Pin To Net: NetName=NetR13_2 Pin=R13-2
Added Pin To Net: NetName=NetR13_2 Pin=R14-1
Added Pin To Net: NetName=NetR13_2 Pin=U3-2
Added Net: Name=NetR13_2
Added Pin To Net: NetName=NetR14_2 Pin=R14-2
Added Pin To Net: NetName=NetR14_2 Pin=U3-1
Added Pin To Net: NetName=NetR14_2 Pin=U4-2
Added Pin To Net: NetName=NetR14_2 Pin=U4-5
Added Net: Name=NetR14_2
Added Pin To Net: NetName=NetR?_1 Pin=R?-1
Added Pin To Net: NetName=NetR?_1 Pin=R?-1
Added Net: Name=NetR?_1
Add Net: Net with name "NetR?_1" already exists
Add Net: Net with name "NetR?_1" already exists
Add Net: Net with name "NetR?_1" already exists
Add Net: Net with name "NetR?_1" already exists
Added Pin To Net: NetName=NetR?_2 Pin=R?-2
Added Pin To Net: NetName=NetR?_2 Pin=U?-1
Added Pin To Net: NetName=NetR?_2 Pin=U?-2
Added Pin To Net: NetName=NetR?_2 Pin=U?-5
Added Net: Name=NetR?_2
Change Class Name : Old Net Name=Sheet3 New Net Name=ESD-MATT
Added Class: Name=ESD-OP
Add Class Member: Failed to add class member : Component C1 0.1 µF
Add Class Member: Failed to add class member : Component C2 0.1 µF
Add Class Member: Failed to add class member : Component C3 2.2µF
Add Class Member: Failed to add class member : Component C4 2.2µF
Add Class Member: Failed to add class member : Component C? 0.1 µF
Add Class Member: Failed to add class member : Component C? 0.1 µF
Added Member To Class: ClassName=ESD-MATT Member=Component DS? HSMH-C150
Added Member To Class: ClassName=ESD-MATT Member=Component DS? HSMH-C150
Added Member To Class: ClassName=Sheet2 Member=Component LS? SD1209T5-A1
Added Member To Class: ClassName=Sheet2 Member=Component Q? IRLZ34NSTRLPBF
Add Class Member: Failed to add class member : Component R1 1 kOhms
Added Member To Class: ClassName=ESD-MATT Member=Component R? AC0603FR-072KL
Added Member To Class: ClassName=ESD-MATT Member=Component R? CRCW06035M10FKEA
Added Member To Class: ClassName=ESD-MATT Member=Component R? CRCW060310K0FKEA
Added Member To Class: ClassName=ESD-MATT Member=Component R? CRCW0603100K0FKEA
Added Member To Class: ClassName=ESD-MATT Member=Component R? CRCW060310K0FKEA
Added Member To Class: ClassName=ESD-MATT Member=Component R? CRCW0603100K0FKEA
Added Member To Class: ClassName=ESD-MATT Member=Component R? CRCW06035M10FKEA
Added Member To Class: ClassName=ESD-MATT Member=Component R? CRCW060310K0FKEA
Added Member To Class: ClassName=ESD-MATT Member=Component R? AC0603FR-072KL
Added Member To Class: ClassName=ESD-MATT Member=Component R? CRCW060310K0FKEA
Added Member To Class: ClassName=ESD-MATT Member=Component U? TLV2372IDR
Added Member To Class: ClassName=ESD-MATT Member=Component U? LM393DT
Added Rule: Name=Schematic Supply Nets_7
Added Rule: Name=Schematic Supply Nets_8
